coder,url,first_author,publication_year,notes,Relevant,Relevant_reason,qrp_1,qrp_2,qrp_3,qrp_4,qrp_5,qrp_6,qrp_7,qrp_8,qrp_9,qrp_10,qrp_absolute_time_range,qrp_relative_time_stem,sample,population,N,posted_data,posted_materials,preregistered,os_absolute_time_range,os_relative_time_stem
hannah,https://www.tandfonline.com/doi/full/10.1080/08989620500440253,Broome,2005,NA,no,"asks about others QRPs, sample was of people running biomedical trials",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"""Respondents are asked to indicate the frequency of each type of scientific misconduct they believe occurs in their environment,""; "" how frequently they have been aware of scientific misconduct in their environment (in the past year) committed by either investigators or by research coordinators, """,NA,"members of the Association for Clinical Research Professionals (ACRP) or subscribers to Research Practitioner, published by the Center for Clinical Research Practice (CCRP).",NA,NA,NA,NA,NA,NA
hannah,https://researchintegrityjournal.biomedcentral.com/articles/10.1186/s41073-019-0085-3,Bruton,2019,NA,no,"focused on endorsment of QRP not actual behavior, focused on medical researchers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hannah,http://journals.aom.org/doi/10.5465/amle.2015.0201,Butler,2017,NA,no,not an empirical article,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
joe,https://osf.io/5rksu,Christensen,2019,N ~ 2800 social scientists (various career stages) from April to August 2018;,yes,"yes, reports information on psychologists in figures",no,no,no,no,no,no,no,no,no,no,April and August 2018,"For good behaviors: ""Approximately when was the first time you...""",NA,"Representative sample drawn from authors publishing 2014-2016 in 10 most-cited journals in econ, polisci, psych, sociology.",NA,NA,NA,NA,NA,NA
joe,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3594440/,Crain,2013,Survey of biomedical and social science faculty and postdocs; behaviors are six composites drawn from 30 questions,no,Psychology results not reported separately from biomedical results,NA,NA,NA,NA,NA,NA,NA,NA,NA,"yes? ""Top Ten""",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hannah,https://www.emerald.com/insight/content/doi/10.1108/JMP-06-2018-0272/full/html,Crede,2019,NA,maybe,"evaluates QRPs evidenced in journal articles (CFA only), but no overlap with John questions",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hannah,https://www.elsevier.com/about/open-science/research-data/open-data-report,CWTS,2017,about data sharing,yes,"reports on the existence and use of data journals (in psychology: Journal of Open Psychology Data); reports on behaviors. Using raw data, I calcualted that 55% of the 59 psychologists and neuroscientists included did not share data for their last research project. (See code in tab below)",no,no,no,no,no,no,no,no,no,no,NA,NA,NA,The on-line survey was delivered in June-July 2016 to researchers worldwide in all scientific fields.,NA,yes,no,no,June and July 2016,Have you published the research data that you used or created as part of your last research project in any of the following ways?
joe,http://ijme.in/articles/publication-misconduct-among-medical-professionals-in-india/?galley=html,Dhingra,2014,Survey of medical researchers in India,no,focuses on medical researchers and not psychologists,no,no,no,no,no,no,no,no,no,yes,August 2012 to March 2013,NA,NA,NA,NA,NA,NA,NA,NA,NA
joe,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0005738,Fanelli,2009,"A review and meta-analysis of 18 surveys conducted between 1986-ish and 2005-ish. self-reporting: 2% admit falsifying data, ""up to"" 34% admit other QRPs. reporting on others: 14% indicate colleagues have falsified data, ""up to"" 72% for other QRPs. ""This review focused on all and only behaviours that can falsify
or bias scientific knowledge through the unjustified alteration of
data, results or their interpretation (e.g. any form of fabrication
and falsification, intentional non-publication of results, biased
methodology, misleading reporting, etc…)""",maybe,"a synthesis of surveys, not original data",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
laura,https://www.nature.com/articles/palcomms201751,Fecher,2017,"Notes from Laura: this reports on a survey distributed to all German universities, and focuses on attitudes toward open access to data, i.e. open sci practice not QRPs",no,does not report estimates for psychology researchers,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
joe,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5945220/,Felaefel,2018,"Convenience sample of researchers at Egypt, Lebanon, and Bahrain.",no,"Not psychology, not clear which field",NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
joe,https://doi.org/10.1177/1948550615612150,Fiedler,2016,"German psychologists, similar to John et al., 2012; question text rephrased to be less ""equivocal"" and more specifically about bad p-hacking",yes,"German psychologists, similar to John et al., 2012; question text rephrased to be less ""equivocal"" and more specifically intentional",yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Not specified,"we asked respondents to provide two self-referent judgments: ""(1) whether they had ever engaged in the
corresponding behavior and, if the answer was yes, (2) how frequently they did so.""",NA,"1,138 members of the German Psychological Association out of the 3,200 total members",NA,NA,NA,NA,NA,NA
hannah,https://sigmapubs.onlinelibrary.wiley.com/doi/abs/10.1111/jnu.12082,Fierz,2014,NA,no,participants did not include psychologists,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hannah,https://osf.io/hs7wm,Flake,2019,not an empirical paper,no,not an empirical paper,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
joe,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0187394,Fong,2017,Survey across fields regarding gift authorships and coerced citations & citation-padding,maybe,focused on authorship issues. reports social sciences and psychology in particular in figures and tables.,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
laura,https://psyarxiv.com/3v7hx/,Fox,2018,"N = 613 American psychologists, focused on use of any QRP in last 12 months by selves and colleagues. Data collected between September 2017 and December 2017. <p>*these questions are good candidates for a follow-up*</p>",yes,focused on use of any QRP in last 12 months,yes,yes,yes,yes,yes,yes,yes,yes,yes,no,2017,Past 12 months,NA,all tenured or tenure-track researchers associated with a PhD-granting psychology department in the United States,NA,NA,NA,NA,NA,NA
hannah,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0200303,Fraser,2018,"includes John et al questions, but not psychologists",no,"subjects were ecology and evolution researchers, not psychologists",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hannah,https://dx.plos.org/10.1371/journal.pone.0175583,Giofrè,2017,NA,maybe,"evaluates the effects of journal os policy on reporting (e.g., confidence intervals)",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
laura,https://search.proquest.com/docview/2139470173/abstract/4C3A7A4275C048C2PQ/1,Godecharle,2018,notes from laura: survey not limited to psych,no,notes from laura: survey not limited to psych,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
laura,https://www.annualreviews.org/doi/abs/10.1146/annurev-psych-122414-033437,Gross,2016,"notes from Laura: this is an annual review of scientific misconduct, we should read this closely and include in review",maybe,broadly relevant but focuses on misconduct and retractions,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
laura,https://linkinghub.elsevier.com/retrieve/pii/S0048733310002106,Haeussler,2011,Notes from Laura: this reports on bioscientists not psychologists,no,Notes from Laura: this reports on bioscientists not psychologists,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hannah,https://royalsocietypublishing.org/doi/10.1098/rsos.190806,Hardwicke,2020,NA,maybe,"assess behaviors that support replicability as evident from journal articles, but only 5 psychology articles included in the sample",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
laura,https://osf.io/preprints/metaarxiv/h35wt/,Hardwicke,2020,Used subsample of Kidwell et al.: 25 papers published in Psych Science with data badges between 2014-2015; Notes from Laura: this paper is about computational reproducibility among papers with shared data and corresponding badge,maybe,Used subsample of Kidwell et al.: 25 papers published in Psych Science with data badges between 2014-2015; Notes from Laura: this paper is about computational reproducibility among papers with shared data and corresponding badge,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hannah,https://journals.plos.org/plosbiology/article?id=10.1371/journal.pbio.1002106,Head,2015,NA,maybe,"not a survey of people, and not specific to psychology, but does look for evidence of p-hacking in papers",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hannah,https://dx.plos.org/10.1371/journal.pone.0175635,Héroux,2017,NA,yes,includes questions about QRP,yes,yes,yes,yes,no,no,yes,no,no,no,unclear but paper is from April 2017,Have you ever...,NA,electical brain simulation researchers,NA,NA,NA,NA,NA,NA
hannah,https://www.jstor.org/stable/90012091,Hofmann,2015,NA,no,participants did not include psychologists,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hannah,https://doi.org/10.1186/1472-6939-14-3,Hofmann,2013,NA,no,participants did not include psychologists,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
laura,https://doi.org/10.1177/2515245917751886,Houtkoop,2018,key data is in Supplement 2,yes,includes questions about os behaviors,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,authors of Web of Science articles in the English published from 2005 through 2015 with psychology as both the topic and the specific research area,NA,600,yes,no,no,NA,"How many times have you shared data in an online repository, approximately? State in terms of percentages of total number of articles published"
hannah,https://linkinghub.elsevier.com/retrieve/pii/S1364661314000540,Ioannidis,2014,NA,no,non-empirical review,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
laura,http://journals.sagepub.com/doi/10.1177/1948550618790227,Janke,2019,NA,yes,specifically looking at psychologists' achievement goals and relationship to QRPs,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,"need to find preregistration or online supplement, dates not in paper",How often have you...5-point Likert never-very often,NA,"We only sampled doctoral candidates and postdocs who had not acquired a professorship (i.e., junior researchers); under- graduates and professors were automatically redirected to an end page and could not finish the survey.",NA,NA,NA,NA,NA,NA
joe,NA,Jensen,2018,Survey of Danish PhD students doing clinical research,no,subjects do not include psychologists,no,no,no,no,no,no,no,no,no,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hannah,https://doi.org/10.1177/0956797611430953,John,2012,NA,yes,the seminal survey on QRPs,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Somewhere around May 2010 (no earlier than that),Whether you have ever engaged in the practice,NA,psychologists,NA,no,no,no,NA,NA
joe,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC5750349/,KHADEM,2017,Survey of research misconduct among undergrad & postgrad medical students in Iran,no,"subjects are medical students, not psychologists",NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hannah,https://asistdl.onlinelibrary.wiley.com/doi/pdf/10.1002/asi.23424?casa_token=9McJwvqjPRQAAAAA:8I3M4nH_gd3CV6sSKlT6d0yyWbwdyz1NxgnS2dOxBUg_lMSr3NMuTq7-yZXwVPfWTYhO_9lGiK-0eC_Y1w,Kim,2016,about data sharing,no,"Does not report estimates for psychologists and few psychologists participated

Includes questions about data sharing *and* mandates (""Data sharing is mandated by the policy of public funding agencies.""; ""Data sharing policy of public funding agencies is enforced.""; ""Public funding agencies require researchers to share data"") -- probably worth summarizing.",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hannah,https://asistdl.onlinelibrary.wiley.com/doi/pdfdirect/10.1002/meet.14504901348,Kim,2012,proposed research,no,"a proposal, not an empirical paper",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hannah,https://dx.plos.org/10.1371/journal.pone.0203470,Krishna,2018,NA,yes,"asks about QRPs, including several beyond those we focus on",yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,June and July of 2016,"“In my thesis work, I at least once engaged in…”",NA,psychology undergraduates,NA,no,no,no,NA,NA
joe,https://journals.sagepub.com/doi/10.1177/0270467616668760,Levin,2016,NA,no,Not psychology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,conducted between September 2013 and February 2014,NA,NA,"U.K. researchers in systems biology, synthetic biology, and bioinformatics",NA,NA,NA,NA,NA,NA
hannah,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0183216,Linek,2017,about data sharing,no,"participants might have included psychologists, but data not reported in a way that is usable for our purposes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
joe,https://osf.io/f7srb,Makel,2019,Education research: less experiment-oriented,yes,"education is close enough to psychology, IMO","yes, item 1 (but see also qrp6)","yes, item 7",no,no,"yes, item 5","yes, item 1","yes, item 6","yes, item 3",no,no,NA,"table 1 indicates ""at least once""",NA,researchers who had published at least one article in an academic education research journal ranked in the top 30 2017 Scimago impact factors or published by American Educational Research Association.,NA,NA,NA,NA,NA,NA
laura,http://www.sciencedirect.com/science/article/pii/S0306460317301363,Miller,2017,"notes from Laura: in this survey of funder interference, reported interference did not map on well to QRPs listed here",no,"notes from Laura: in this survey of funder interference, reported interference did not map on well to QRPs listed here",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hannah,https://psycnet.apa.org/doi/10.1037/pspa0000084,Motyl,2017,NA,yes,"yes, asks about both os practices and qrp",yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,"not specified in methods, might be findable",how frequently participants engage in each practice,NA,"Social and Personality Societies: SPSP, ESSP, SASP",NA,yes,NA,yes,see other explanation,frequency
hannah,http://www.educationforhealth.net/article.asp?issn=1357-6283;year=2017;volume=30;issue=2;spage=140;epage=145;aulast=Mubeen;type=0,Mubeen,2017,NA,no,participants did not include psychologists,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
joe,https://linkinghub.elsevier.com/retrieve/pii/S0048733314000900,Necker,2014,Survey of academic economists,no,Not psychology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hannah,http://link.springer.com/10.3758/s13428-015-0664-2,Nuijten,2016,NA,maybe,looks at errors in statistical reporting evident in journal articles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hannah,http://journals.sagepub.com/doi/10.1177/2515245920918872,Obels,2020,NA,maybe,test computational reproducibility and open data among registered reports,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hannah,https://onlinelibrary.wiley.com/doi/abs/10.1111/j.1471-8847.2012.00339.x,Okonta,2013,"Used a revised version of the scientific research misconduct questionaire (adapted to ask about own behavior; Broome et al., 2005)",no,"participants might have included psychologists, but data not reported in a way that is usable for our purposes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hannah,https://www.ncbi.nlm.nih.gov/pmc/articles/PMC3625237/,Ozturk,2013,NA,no,participants did not include psychologists,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
laura,https://doi.org/10.1007/s11948-016-9767-0,Pupovac,2017,"notes from Laura: in this survey of funder interference, reported interference did not map on well to QRPs listed here",no,"notes from Laura: in this survey of funder interference, reported interference did not map on well to QRPs listed here",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
laura,https://doi.org/10.1007/s11948-014-9600-6,Pupovac,2015,notes from Laura: this was a survey about plagarism and not limited to psychologists,no,notes from Laura: this was a survey about plagarism and not limited to psychologists,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
joe,https://onlinelibrary.wiley.com/doi/abs/10.1002/ijop.12632,Rabelo,2020,Survey of 232 brazilian psychologists using questions from John et al. (2012),yes,uses questions from John et al. (2012),yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,Not indicated,"Presumably ""ever""",NA,lists of researchers from Brazilian psychological associations & Brazilian department chairs forwarding to their faculty,NA,no,no,no,NA,NA
laura,http://journal.frontiersin.org/article/10.3389/fpsyg.2015.00535/abstract,Rajah,2015,"notes from Laura: this was a survey of university undergrads, only ~70% were psych majors",no,doesn't report major in a way that allows us to estimate the rates for psychologists only,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hannah,https://peerj.com/articles/562,Roberts,2014,NA,no,"participants might have included psychologists, but data not reported in a way that is usable for our purposes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hannah,http://link.springer.com/10.1007/s11948-019-00112-4,Smith,2019,NA,no,focused on authorship disagreements / issues,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
joe,https://www.bmj.com/content/342/bmj.c7153,Smyth,2011,Survey of clinical triallists,no,sample is not psychologists,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
laura,https://econtent.hogrefe.com/doi/full/10.1027/2151-2604/a000356,Stricker,2019,notes from Laura: we should closely read this systematic review of misconduct in psych,maybe,synthesizes estimates of misconduct in psychology,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hannah,https://econtent.hogrefe.com/doi/10.1027/1864-9335/a000324,Stürmer,2017,NA,no,focused on perceptions not behaviors,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
joe,https://zenodo.org/record/3903142#.XvJF5edCT6o,Swiatek,2020,"Analysis of the content and audiences of 21 open-science training programs in 19 european countries. Links through to interviews with a person from each individual program who describes the program's top priority, strong priorities, and not-a-priorities.",no,"survey of open-science training programs, not scientists' behaviors",no,no,no,no,no,no,no,no,no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hannah,http://doi.apa.org/getdoi.cfm?doi=10.1037/tep0000322,Swift,2020,*paywalled but likely contains many QRPs from John*,yes,Uses the Fiedler & Schwarz (2016) adaptation of the John et al. QRPs,yes,yes,yes,yes,yes,yes,yes,yes,yes,yes,NA,"probably ""ever"" a la cited Fiedler & Schwarz (2016)",NA,faculty and PhD students at APA-accredited clinical and counseling psychology programs,NA,NA,no,no,not reported,NA
joe,NA,Tenopir,2011,"Many disciplines smushed together, psychology not displayed separately.",no,"Many disciplines, psychology not reported alone",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
joe,https://www.jstor.org/stable/90011937,Tijdink,2014,Flemish biomedical scientists,no,sample is not psychologists,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
laura,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0163251,Tijdink,2016,notes from laura: survey not limited to psych,no,notes from laura: survey not limited to psych,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
joe,https://doi.org/10.1186/s12909-018-1274-3,Tiong,2018,Survey of sundry misbehaviors among healthcare and non-healthcare academics in Malaysia,no,sample is not psychologists,NA,NA,NA,NA,NA,NA,NA,NA,NA,yes,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hannah,http://collabra.org/article/view/collabra.13/,Vanpaemel,2015,NA,maybe,audit of data sharing,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hannah,https://linkinghub.elsevier.com/retrieve/pii/S0306460319309608,Vassar,2020,NA,maybe,evaluates data sharing in addiction research as evident in journal articles,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hannah,http://www.tandfonline.com/doi/full/10.1080/19312458.2015.1096331,Vermeulen,2015,NA,no,not empirical,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
laura,https://jme.bmj.com/content/35/6/348,Wager,2009,notes from laura: survey not limited to psych,no,notes from laura: survey not limited to psych,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
joe,https://www.acpjournals.org/doi/10.7326/M18-1230,Wang,2018,Survey of 522 consulting biostatisticians,no,sample is not psychologists,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hannah,http://journals.sagepub.com/doi/10.1177/2515245918757427,Washburn,2018,NA,no,results redundant with Motyl et al. 2017,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hannah,https://linkinghub.elsevier.com/retrieve/pii/S0005796719301858,Waters,2020,NA,no,not empirical,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
joe,https://journals.plos.org/plosone/article?id=10.1371/journal.pone.0199554,Wolff,2018,Survey of psychologists previously publishing on ego depletion,yes,more narrow than just psychology,"yes, item 4","yes, table 1 Q1","yes, item 3",no,no,no,"yes, item 2","yes, item 5",no,no,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
hannah,NA,Roussos,2011,NA,no,doesn't ask about these qrps,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
